id,districtId,name
824,144,Kapal
825,185,Karangasem
826,170,Karyasari
827,142,Katung
828,171,Kawan
829,151,Kayuputih
830,171,Kayubihi
831,162,Kayuputih
832,170,Kebon Padangan
833,191,Kedewatan
834,143,Kediri
835,178,Kedis
836,192,Kedisan
837,142,Kedisan
838,193,Kedonganan
839,144,Kekeran
840,178,Kekeran
841,167,Kelating
842,192,Keliki
843,184,Kelusa
844,168,Kemenuh
845,192,Kenderan
846,150,Kendran
847,174,Keramas
848,167,Kerambitan
849,186,Kerobokan
850,173,Kerobokan
851,186,Kerobokan Kaja
852,186,Kerobokan Kelod
853,184,Kerta
854,194,Kertha Buana
855,141,Kertha Mandala
856,187,Kesiman
857,187,Kesiman Kertalangu
858,187,Kesiman Petilan
859,141,Kesimpar
860,167,Kesiut
861,168,Ketewel
862,142,Kintamani
863,169,Klumpu
864,171,Kubu
865,160,Kubu
866,177,Kubutambahan
867,167,Kukuh
868,166,Kukuh
869,181,Kusamba
870,193,Kuta
871,169,Kutampi
872,169,Kutampi Kaler
873,179,Kutuh
874,142,Kutuh
875,166,Kuwum
876,144,Kuwun
877,141,Laba Sari
878,194,Lokasari
879,153,Lalanglinggah
880,171,Landih
881,142,Langgahan
882,145,Lebih
883,193,Legian
884,159,Lelateng
885,142,Lembean
886,169,Lembongan
887,173,Lemukih
888,182,Les
889,150,Liligundi
890,191,Lodtunduh
891,163,Lokapaksa
892,159,Loloan Barat
893,148,Loloan Timur
894,144,Lukluk
895,153,Lumbung
896,153,Lumbung Kauh
897,154,Luwus
898,172,Macang
899,182,Madenan
900,146,Mambal
901,164,Mambang
902,149,Manduang
903,156,Manggis
904,157,Manggissari
905,142,Mangguh
906,142,Manikliyu
907,155,Manikyang
908,175,Manistutu
909,195,Manukaya
910,166,Marga
911,166,Marga Dajan Puri
912,166,Marga Dauh Puri
913,191,Mas
914,163,Mayong
915,174,Medahan
916,157,Medewi
917,164,Megati
918,146,Mekar Bhuwana
919,154,Mekarsari
920,175,Melaya
921,167,Meliling
922,184,Melinggih
923,184,Melinggih Kelod
924,180,Menanga
925,190,Mendoyo Dangin Tukad
926,190,Mendoyo Dauh Tukad
927,142,Mengani
928,177,Mengening
929,158,Mengesta
930,144,Mengwi
931,144,Mengwitani
932,173,Menyali
933,152,Muncan
934,153,Mundeh
935,153,Mundeh Kangin
936,153,Mundeh Kauh
937,162,Munduk
938,163,Munduk Bestala
939,170,Munduk Temu
940,144,Munggu
941,165,Musi
942,150,Nagasepaha
943,141,Nawa Kerti
944,140,Negari
945,156,Ngis
946,180,Nongan
947,175,Nusasari
948,140,Nyalian
949,143,Nyambu
950,140,Nyanglan
951,143,Nyitdah
952,156,Nyuh Tebel
953,182,Pacung
954,185,Padang Kerta
955,189,Padangsambian Kaja
956,170,Padangan
957,156,Padangbai
958,151,Padangbulia
959,189,Padangsambian
960,189,Padangsambian Kelod
961,170,Pajahan
962,150,Paket Agung
963,177,Pakisan
964,181,Paksebali
965,151,Pancasari
966,143,Pandak Bandung
967,143,Pandak Gede
968,167,Pangkung Karung
969,143,Pangkung Tibah
970,163,Pangkungparuk
971,176,Pangsan
972,157,Pangyangan
973,196,Panjer
974,151,Panji
975,151,Panji Anom
976,156,Pesedahan
977,165,Patas
978,163,Patemon
979,166,Payangan
980,179,Pecatu
981,169,Ped
982,162,Pedawa
983,196,Pedungan
984,151,Pegadungan
985,151,Pegayaman
986,188,Peguyangan
987,188,Peguyangan Kaja
988,188,Peguyangan Kangin
989,165,Pejarakan
990,143,Pejaten
991,195,Pejeng
992,195,Pejeng Kaja
993,195,Pejeng Kangin
994,195,Pejeng Kawan
995,195,Pejeng Kelod
996,169,Pejukutan
997,166,Peken Belayu
998,157,Pekutatan
999,176,Pelaga
1000,178,Pelapuan
1001,191,Peliatan
1002,150,Pemaron
1003,189,Pemecutan
1004,188,Pemecutan Kaja
1005,189,Pemecutan Kelod
1006,196,Pemogan
1007,180,Pempatan
1008,165,Pemuteran
1009,167,Penarukan
1010,150,Penarukan
1011,144,Penarungan
1012,158,Penatahan
1013,187,Penatih
1014,187,Penatih Dangin Puri
1015,148,Pendem
1016,158,Penebel
1017,159,Pengambengan
1018,163,Pengastulan
1019,142,Pengejaran
1020,147,Pengiangan
1021,150,Penglatan
1022,147,Penglumbaran
1023,171,Pengotan
1024,157,Pengragoan
1025,165,Pengulon
1026,161,Peninjoan
1027,182,Penuktukan
1028,165,Penyabangan
1029,190,Penyaringan
1030,148,Perancak
1031,154,Perean
1032,154,Perean Kangin
1033,154,Perean Tengah
1034,144,Pererenan
1035,190,Pergung
1036,174,Pering
1037,152,Peringsari
1038,185,Pertima
1039,158,Pesagi
1040,181,Pesinggahan
1041,145,Petak
1042,145,Petak Kaja
1043,150,Petandakan
1044,176,Petang
1045,166,Petiga
1046,191,Petulu
1047,141,Pidpid
1048,181,Pikat
1049,142,Pinggan
1050,158,Pitra
1051,150,Poh Bergong
1052,190,Pohsanten
1053,178,Pucaksari
1054,184,Puhu
1055,170,Pujungan
1056,157,Pulukan
1057,146,Punggul
1058,170,Pupuan
1059,192,Pupuan
1060,155,Pupuan Sawah
1061,141,Purwa Kerthi
1062,163,Rangdu
1063,158,Rejasa
1064,180,Rendang
1065,196,Renon
1066,158,Riang Gede
1067,163,Ringdikit
1068,174,Saba
1069,144,Sading
1070,170,Sai
1071,169,Sakti
1072,151,Sambangan
1073,182,Sambirenteng
1074,181,Sampalan Kelod
1075,181,Sampalan Tengah
1076,145,Samplangan
1077,167,Samsam
1078,170,Sanda
1079,195,Sanding
1080,146,Sangeh
1081,165,Sanggalangit
1082,194,Sangkan Gunung
1083,148,Sangkaragung
1084,158,Sangketan
1085,173,Sangsit
1086,196,Sanur
1087,196,Sanur Kaja
1088,196,Sanur Kauh
1089,155,Serampingan
1090,150,Sarimekar
1091,149,Satra
1092,142,Satra
1093,173,Sawan
1094,191,Sayan
1095,192,Sebatu
1096,152,Sebudi
1097,183,Sesandan
1098,146,Sedang
1099,142,Sekaan
1100,142,Sekardadi
1101,169,Sekartaji
1102,173,Sekumpul
1103,153,Selabih
1104,166,Selanbawak
1105,146,Selat
1106,149,Selat
1107,147,Selat
1108,152,Selat
1109,151,Selat
1110,155,Selemadeg
1111,149,Selisihan
1112,142,Selulung
1113,156,Selumbung
1114,149,Semarapura Kaja
1115,149,Semarapura Kangin
1116,149,Semarapura Kauh
1117,149,Semarapura Kelod
1118,149,Semarapura Kelod Kangin
1119,149,Semarapura Tengah
1120,182,Sembiran
1121,144,Sembung
1122,167,Sembung Gede
1123,193,Seminyak
1124,144,Sempidi
1125,158,Senganan
1126,156,Sengkidu
1127,178,Sepang
1128,178,Sepang Kelod
1129,142,Serai
1130,196,Serangan
1131,185,Seraya
1132,185,Seraya Barat
1133,185,Seraya Timur
